card_id,creator,creator_raw,card_name_en,card_name_zh,suit_id,suit_ui,deck_id,deck_ui,risk_level,sharpness,tags,content_markdown_path,source.type,source.pack,source.original_file
joan_didion__calm_knife,Joan Didion,Joan Didion,CALM KNIFE,冷刀笔记,dossier,卷宗,calm_notes,冷笔记页,0,0.65,creator:joan_didion | deck:calm_notes | output:dossier | structure:sequence_potential | suit:dossier | theme:memory,cards/markdown/joan_didion__calm_knife.md,pack,artist_cases_pack_v4,11_Joan_Didion.md
walid_raad__atlas_counter_archive,Walid Raad,Walid Raad,ATLAS COUNTER-ARCHIVE,幽灵档案卷,dossier,卷宗,counter_archive,幽灵档案卷,1,0.72,creator:walid_raad | deck:counter_archive | object:archive_box | origin:scan | output:index_card | suit:dossier | theme:institution | theme:memory,cards/markdown/walid_raad__atlas_counter_archive.md,conversation,,
sophie_calle__prenez_soin_de_limage,Sophie Calle,Sophie Calle,PRENEZ SOIN DE L’IMAGE,合唱卷宗,dossier,卷宗,dossier_chorus,合唱卷宗,1,0.7,creator:sophie_calle | deck:dossier_chorus | origin:photo | output:dossier | risk:face_clear | suit:dossier | theme:institution | theme:memory,cards/markdown/sophie_calle__prenez_soin_de_limage.md,conversation,,
susan_sontag__ethics_of_seeing,Susan Sontag,Susan Sontag,ETHICS OF SEEING,观看伦理脚注,dossier,卷宗,ethics_footnote,伦理脚注页,1,0.75,creator:susan_sontag | deck:ethics_footnote | origin:photo | output:dossier | risk:face_clear | risk:sensitive_scene | suit:dossier | theme:visibility,cards/markdown/susan_sontag__ethics_of_seeing.md,pack,creator_cases_pack_v5,06_Susan_Sontag.md
bellingcat__osint_thread,Bellingcat,Bellingcat（OSINT 调查团队）,OSINT THREAD,证据链热帖,dossier,卷宗,evidence_wall,证据墙,1,0.78,creator:bellingcat | deck:evidence_wall | object:map | origin:screenshot | output:board | suit:dossier | theme:evidence | theme:institution | ui:timestamp_overlay,cards/markdown/bellingcat__osint_thread.md,pack,artist_cases_pack_v4,01_Bellingcat.md
forensic_architecture__counter_forensics,Forensic Architecture,Forensic Architecture,COUNTER-FORENSICS,证据板编译器,dossier,卷宗,evidence_wall,证据墙,1,0.78,creator:forensic_architecture | deck:evidence_wall | object:map | origin:screenshot | output:board | suit:dossier | theme:evidence | theme:institution | ui:timestamp_overlay,cards/markdown/forensic_architecture__counter_forensics.md,conversation,,
mona_chalabi__hand_drawn_data,Mona Chalabi,Mona Chalabi,HAND-DRAWN DATA,手绘数据判词,dossier,卷宗,handdrawn_data,手绘数据板,0,0.6,creator:mona_chalabi | deck:handdrawn_data | object:form | origin:screenshot | output:board | suit:dossier | theme:evidence | theme:institution | ui:browser,cards/markdown/mona_chalabi__hand_drawn_data.md,pack,artist_cases_pack_v4,02_Mona_Chalabi.md
edward_ruscha__road_index_book,Edward Ruscha,Edward Ruscha,ROAD INDEX BOOK,公路索引书,dossier,卷宗,index_book_page,索引书页,0,0.5,creator:edward_ruscha | deck:index_book_page | object:form | object:map | output:index_card | space:street | structure:repetition | suit:dossier | theme:memory,cards/markdown/edward_ruscha__road_index_book.md,pack,image_creator_cases_pack_v1,06_Edward_Ruscha.md
taryn_simon__hidden_index,Taryn Simon,Taryn Simon,HIDDEN INDEX,不可见之物索引编译器,dossier,卷宗,index_card,索引卡,0,0.55,creator:taryn_simon | deck:index_card | object:archive_box | object:form | origin:scan | output:index_card | suit:dossier | theme:institution | theme:memory,cards/markdown/taryn_simon__hidden_index.md,pack,artist_cases_pack_v1,04_TarynSimon_HIDDEN_INDEX.md
joan_fontcuberta__photofiction_archive,Joan Fontcuberta,Joan Fontcuberta,PHOTOFICTION ARCHIVE,拟真伪档案,dossier,卷宗,photofiction_archive,伪档案柜,0,0.72,creator:joan_fontcuberta | deck:photofiction_archive | object:archive_box | origin:scan | output:dossier | output:index_card | suit:dossier | theme:institution | theme:memory,cards/markdown/joan_fontcuberta__photofiction_archive.md,pack,artist_cases_pack_v4,13_Joan_Fontcuberta.md
mary_douglas__purity_grid,Mary Douglas,Mary Douglas,PURITY GRID,污染-秩序分类器,dossier,卷宗,purity_grid,边界表,0,0.6,creator:mary_douglas | deck:purity_grid | object:form | output:dossier | suit:dossier | theme:evidence | theme:institution,cards/markdown/mary_douglas__purity_grid.md,pack,creator_cases_pack_v5,02_Mary_Douglas.md
ferran_adri__elbulli_taller,Ferran Adrià,Ferran Adrià（El Bulli）,ELBULLI TALLER,菜品研发工坊,dossier,卷宗,r_d_workshop,研发工坊页,0,0.55,creator:ferran_adri | deck:r_d_workshop | object:checklist | object:form | space:workbench | suit:dossier | theme:institution | theme:protocol,cards/markdown/ferran_adri__elbulli_taller.md,pack,creator_cases_pack_v5,03_Ferran_Adria.md
james_bridle__system_footnote,James Bridle,James Bridle,SYSTEM FOOTNOTE,系统脚注板,dossier,卷宗,system_footnote,系统脚注页,0,0.7,creator:james_bridle | deck:system_footnote | origin:screenshot | output:dossier | suit:dossier | theme:evidence | theme:institution | ui:browser,cards/markdown/james_bridle__system_footnote.md,pack,artist_cases_pack_v4,05_James_Bridle.md
tom_sachs__work_to_code,Tom Sachs,Tom Sachs,WORK TO CODE,规程手册包,dossier,卷宗,workshop_manual,规程手册包,0,0.6,creator:tom_sachs | deck:workshop_manual | object:certificate | object:checklist | space:workbench | suit:dossier | theme:institution | theme:protocol,cards/markdown/tom_sachs__work_to_code.md,conversation,,
ren_magritte__this_is_not,René Magritte,René Magritte,THIS IS NOT,标题机关绘画,installation,展厅,caption_trap,标题机关,0,0.6,carrier:signage | creator:ren_magritte | deck:caption_trap | output:wall_label | suit:installation | theme:institution | ui:watermark,cards/markdown/ren_magritte__this_is_not.md,pack,image_creator_cases_pack_v1,07_Rene_Magritte.md
